Judet,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64
ab,3.912576923076923,5.399333333333333,22.809410256410256,40.13152564102564,9.138602564102564,3.3898846153846156,0.9997820512820513,13.064153846153847
ag,0.21537254901960784,5.071696078431373,50.27080392156863,19.30537254901961,9.028607843137255,5.543607843137255,1.0300686274509803,8.585313725490195
ar,6.6555897435897435,4.789410256410257,26.042602564102566,30.347333333333335,8.554730769230769,4.667538461538461,2.276692307692308,15.795717948717948
b,0.221,6.684,27.815,21.955,32.573,3.618,0.753,5.035
bc,1.3542258064516128,4.558698924731183,44.23468817204301,21.36477419354839,8.60479569892473,3.174096774193548,1.7425591397849463,13.345870967741934
bh,20.785415841584157,2.6660990099009902,23.67961386138614,32.56948514851485,4.3370099009900995,4.137841584158416,0.7481485148514851,10.460029702970298
bn,4.1042903225806455,9.461758064516129,32.81035483870968,31.654129032258066,5.867677419354838,3.3605483870967743,1.8137096774193548,9.862903225806452
br,0.4649545454545454,5.279181818181818,48.31127272727272,20.483204545454544,5.650409090909091,5.042704545454545,2.169363636363636,11.983522727272726
bt,0.3658974358974359,3.510076923076923,47.250935897435895,20.74751282051282,5.011692307692307,6.653448717948718,1.4185897435897437,14.372179487179487
bv,6.499051724137931,3.9482758620689653,22.167534482758622,33.9006724137931,15.562189655172414,4.440413793103448,0.9524655172413794,10.933741379310346
bz,0.21445977011494255,11.397724137931034,50.94625287356321,15.640080459770115,5.453609195402299,7.831367816091953,1.0751034482758621,7.441310344827587
cj,14.177148148148147,5.732814814814815,18.089419753086418,36.114777777777775,10.990395061728394,5.055432098765432,1.1145925925925926,7.6755555555555555
cl,0.11401818181818181,2.4205454545454543,46.91914545454545,31.71958181818182,4.864745454545454,2.444727272727273,1.6522363636363637,9.353781818181817
cs,0.5372337662337662,7.2057012987013,35.04919480519481,34.52132467532467,5.75951948051948,5.004402597402597,1.430909090909091,6.89209090909091
ct,0.3305072463768116,4.853202898550724,31.515579710144927,28.16521739130435,8.182579710144926,3.1871449275362322,1.705072463768116,20.349101449275363
cv,72.56106666666666,2.0983555555555555,8.5618,4.582422222222222,3.9113777777777776,3.3353555555555556,1.1094444444444445,3.4166222222222222
db,0.3118202247191011,4.031078651685394,49.05675280898877,23.904573033707866,7.09676404494382,6.039404494382022,0.848123595505618,7.90208988764045
dj,0.36357657657657655,5.322828828828829,54.5414054054054,25.222306306306304,4.058972972972973,4.082531531531531,0.9491621621621622,4.851990990990991
gj,0.7881142857142857,5.172228571428572,42.26304285714286,28.250985714285715,7.2019714285714285,6.789000000000001,0.5904571428571429,8.0185
gl,0.5612,4.914169230769231,44.821615384615384,24.83306153846154,6.1679538461538455,5.183784615384615,2.4702153846153845,10.142076923076923
gr,0.2709074074074074,3.0594444444444444,31.326500000000003,49.93472222222222,4.7597962962962965,3.9726296296296293,0.5681296296296297,5.795648148148148
hd,1.8113768115942028,3.6411159420289856,38.92552173913043,29.728420289855073,7.978173913043479,6.347144927536232,0.9587391304347826,9.341695652173913
hr,83.08955223880596,1.481492537313433,5.485104477611941,4.270611940298508,1.8316567164179105,0.8159402985074626,0.7588358208955224,1.8452537313432835
if,0.29455,4.3589,25.761475,37.009724999999996,17.2583,4.4567,0.9257250000000001,9.151925
il,0.4799090909090909,2.8021060606060604,44.57459090909091,20.624121212121214,6.196909090909091,10.84780303030303,1.699121212121212,12.16810606060606
is,0.37065306122448977,5.635765306122448,34.14781632653061,28.959591836734692,8.732295918367347,3.5750816326530614,2.0361632653061226,15.542479591836734
mh,0.3356363636363637,8.018363636363636,42.29028787878788,36.74001515151515,2.8826212121212125,3.804621212121212,0.7441969696969697,4.837090909090909
mm,3.872657894736842,10.265,30.19259210526316,28.89830263157895,10.867394736842106,4.822657894736842,1.1904078947368422,8.316973684210527
ms,36.26916666666666,4.663382352941177,17.791264705882355,19.617156862745098,6.870225490196079,4.285098039215686,0.5341470588235294,9.203019607843137
nt,0.2023012048192771,3.7217590361445785,38.3378313253012,24.349192771084336,9.88312048192771,4.773831325301205,1.6828072289156626,15.645108433734942
ot,0.2135,2.7593482142857146,63.13759821428572,18.589491071428572,3.5086785714285713,5.054080357142857,1.006732142857143,5.525080357142857
ph,0.5090096153846153,6.234403846153847,38.50813461538461,31.265894230769227,12.6495,6.121721153846154,1.944048076923077,0.0
sb,0.980984375,5.340828125,18.22028125,43.830687499999996,13.480828125,2.580515625,0.86725,12.45065625
sj,22.90467213114754,3.6068688524590167,22.120229508196722,31.00460655737705,8.80788524590164,3.047081967213115,0.7550655737704918,7.010819672131148
sm,36.750630769230774,3.7551384615384618,16.246876923076922,22.505446153846155,5.476538461538462,6.967876923076923,0.6447384615384616,6.968169230769231
sv,0.4830701754385965,5.440061403508772,31.624298245614035,25.383385964912282,7.848,4.4718333333333335,6.260342105263158,16.702666666666666
tl,0.6703137254901961,3.504843137254902,34.50423529411765,29.74027450980392,7.625235294117647,6.601862745098039,1.0545098039215686,14.627235294117648
tm,2.574060606060606,5.702010101010101,26.57431313131313,27.995313131313132,15.699969696969697,4.884151515151515,1.778111111111111,13.275656565656565
tr,0.3513298969072165,2.24360824742268,42.891711340206186,42.00231958762887,3.4859381443298973,3.34679381443299,0.9301030927835051,3.9623092783505154
vl,0.46648314606741575,4.236719101123596,42.41449438202247,30.65370786516854,6.064258426966293,4.0084494382022475,1.3933483146067416,8.570359550561799
vn,0.1715890410958904,4.240931506849315,35.583917808219184,34.683328767123285,5.58527397260274,3.040794520547945,2.485972602739726,13.556739726027399
vs,0.8558720930232558,4.031151162790698,45.000441860465116,20.58696511627907,6.694441860465116,7.012511627906977,1.3715813953488372,13.188895348837208
