Code,Media
AFG,2.572344356800001
ALB,7.164
DZA,0.784
AND,11.794
AGO,6.142
ATG,5.674
ARG,9.1525
ARM,5.42
AUS,11.505999999999998
AUT,12.428
AZE,3.444
BHS,4.662000000000001
BHR,1.5159999999999998
BGD,0.11800000000000002
BRB,8.296
BLR,14.27
BEL,11.984
BLZ,6.55
BEN,2.588
BTN,1.228
BOL,4.488
BIH,6.992
BWA,8.146
BRA,8.174000000000001
BRN,0.378
BGR,11.905999999999999
BFA,10.006
BDI,8.027999999999999
KHM,4.496
CMR,6.912000000000001
CAN,8.0303443568
CPV,6.4079999999999995
CAF,3.218
TCD,3.6720000000000006
CHL,8.862
CHN,5.82
COL,5.510000000000001
COM,0.49000000000000005
COG,6.1080000000000005
CRI,5.08
CIV,3.6799999999999997
HRV,10.228
CUB,5.372
CYP,11.242
CZE,14.504
COD,1.5219999999999998
DNK,11.315999999999999
DJI,0.898
DMA,9.85
DOM,6.547999999999999
ECU,5.422
EGY,0.332
SLV,3.69
GNQ,8.374
ERI,1.578
EST,11.846
SWZ,8.174000000000001
ETH,2.1719999999999997
FJI,3.134
FIN,11.870000000000001
FRA,12.908000000000001
GAB,9.629999999999999
GMB,3.8880000000000003
GEO,7.6659999999999995
DEU,13.209999999999999
GHA,3.84
GRC,10.25
GRD,9.084
GTM,3.44
GIN,0.8640000000000001
GNB,4.872
GUY,7.596000000000001
HTI,3.2479999999999998
HND,3.6439999999999997
HUN,12.774000000000001
ISL,8.026
IND,4.008
IDN,0.5479999999999999
IRN,0.768
IRQ,0.42800000000000005
IRL,13.35
ISR,3.3939999999999997
ITA,8.51
JAM,4.426
JPN,7.85
JOR,0.6599999999999999
KAZ,6.38
KEN,3.1359999999999997
KIR,1.3499999999999999
KWT,0.019
KGZ,8.914
LAO,7.380000000000001
LVA,11.552000000000001
LBN,2.114
LSO,5.714
LBR,5.924
LBY,0.058600000000000006
LTU,14.662
LUX,13.4
MDG,1.8719999999999999
MWI,3.15
MYS,1.166
MDV,1.9
MLI,1.1640000000000001
MLT,6.9
MRT,0.097
MUS,4.518000000000001
MEX,5.608
FSM,2.882
MDA,14.536000000000001
MNG,7.4399999999999995
MNE,9.9383443568
MAR,0.852
MOZ,1.95
MMR,2.8920000000000003
NAM,3.722
NRU,4.518
NPL,1.8219999999999998
NLD,10.232
NZL,10.745999999999999
NIC,5.07
NER,0.402
NGA,11.675999999999998
PRK,3.72
MKD,6.4719999999999995
NOR,8.138
OMN,2.0799999999999996
PAK,0.213
PAN,6.7
PNG,1.568
PRY,7.091999999999999
PER,6.846000000000001
PHL,6.454000000000001
POL,10.864
PRT,12.774000000000001
QAT,1.544
ROU,14.128
RUS,14.524000000000001
RWA,11.041999999999998
KNA,9.661999999999999
LCA,10.734
VCT,7.110000000000001
WSM,3.242
STP,7.666000000000001
SAU,0.182
SEN,0.78
SRB,8.2743443568
SYC,12.558
SLE,5.706
SGP,2.112
SVK,11.84
SVN,12.216
SLB,1.556
SOM,1.294181691
ZAF,9.754
KOR,10.52
ESP,11.866
LKA,3.386
SDN,3.8839590918000004
SUR,5.611999999999999
SWE,8.944
CHE,11.73
SYR,0.694
TJK,2.854
TZA,9.88
THA,7.534000000000001
TLS,1.448
TGO,2.3980000000000006
TON,1.3779999999999997
TTO,6.249999999999999
TUN,1.6660000000000004
TUR,2.2039999999999997
TKM,4.95
TUV,1.834
UGA,14.052000000000001
UKR,11.304
ARE,3.412
GBR,12.468
USA,9.546
URY,7.312
UZB,3.604
VUT,1.6920000000000002
VEN,7.640000000000001
VNM,5.252000000000001
YEM,0.2832
ZMB,5.362
ZWE,3.75
